"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"74","1578_2","1578_2","1578_4",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",7,1
"75","1578_2","1578_2","1578_5",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",9,1
"76","1578_2","1578_2","1578_6",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",7,1
"77","1578_2","1578_2","1578_7",1578,"Lima2014",-10.15333333,-55.00333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","secondary vegetation","mining area","intense","secondary vegetation-substantial",6,1
"78","1578_3","1578_3","1578_14",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"79","1578_3","1578_3","1578_15",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"80","1578_3","1578_3","1578_16",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"81","1578_3","1578_3","1578_17",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"82","1578_3","1578_3","1578_18",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",2,1
"83","1578_3","1578_3","1578_19",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"84","1578_3","1578_3","1578_20",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
"85","1578_3","1578_3","1578_21",1578,"Lima2014",-9.236666667,-64.40333333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,1
