"","site_number","study_number","lon","lat","X.1","X","reference","site_name","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI","cells_deforestation","deforest_prop"
"22","1432_2",1432,-73.49358611,-4.226513889,6989,25006,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","June","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",191,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_9",7.95833333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"23","1432_2",1432,-73.49358611,-4.226513889,6990,25007,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","June","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",169,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_23",7.04166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"24","1432_2",1432,-73.49358611,-4.226513889,6991,25008,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","March","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",139,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_10",5.79166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"25","1432_2",1432,-73.49358611,-4.226513889,6992,25009,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","October","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","dry","night","adult",18,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_17",0.75,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"26","1432_2",1432,-73.49358611,-4.226513889,6993,25010,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","May","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",164,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_11",6.83333333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"27","1432_2",1432,-73.49358611,-4.226513889,6994,25011,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","May","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",538,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_25",22.4166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"28","1432_2",1432,-73.49358611,-4.226513889,6995,25012,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","October","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","dry","night","adult",9,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_3",0.375,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"29","1432_2",1432,-73.49358611,-4.226513889,6987,25004,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","January","2013-01",2013,"2015-06","HLC",24,"man hours","indoor","wet","night","adult",131,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_8",5.45833333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"30","1432_2",1432,-73.49358611,-4.226513889,6988,25005,"Prussing2018","CAH","1432_2","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","January","2013-01",2013,"2015-06","HLC",24,"man hours","outdoor","wet","night","adult",542,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_22",22.5833333333333,"Anopheles darlingi","minimal","primary vegetation-minimal",25,4.85702340978684
"31","1432_3",1432,-74.21025278,-4.193180556,6968,24985,"Prussing2018","SEM","1432_3","Peru",NA,"tropical rainforest","primary vegetation","minimal","Anopheles darlingi","Anopheles","darlingi","monthly abundance","June","2015-05",2015,"2015-09","HLC",24,"man hours","outdoor","wet","night","adult",121,NA,"Anopheles_darlingi","Napo moist forests","Tropical & Subtropical Moist Broadleaf Forests","1432_27",5.04166666666667,"Anopheles darlingi","minimal","primary vegetation-minimal",29,5.63414715535274
