"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"121","1582_1","1582_1","1582_5",1582,"daSilva2018",-8.123626,-35.09752,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","urban","intense","urban-substantial",1,0
"122","1582_2","1582_2","1582_2",1582,"daSilva2018",-8.126288,-35.094066,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","light","primary vegetation-substantial",1,0
"123","1582_2","1582_2","1582_4",1582,"daSilva2018",-8.126288,-35.094066,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","light","primary vegetation-substantial",1,0
"124","1582_2","1582_2","1582_5",1582,"daSilva2018",-8.126288,-35.094066,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","light","primary vegetation-substantial",1,0
"125","1582_3","1582_3","1582_1",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",3,0
"126","1582_3","1582_3","1582_2",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"127","1582_3","1582_3","1582_4",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"128","1582_3","1582_3","1582_5",1582,"daSilva2018",-8.140009,-35.08445,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic Forest ecological reserve","minimal","primary vegetation-minimal",1,0
"129","1584_1","1584_1","1584_1",1584,"McKeon2013",3.49185,-60.92608333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"130","1584_10","1584_10","1584_1",1584,"McKeon2013",2.767033333,-60.7076,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","urban","Urban","intense","urban-substantial",2,1
"131","1584_11","1584_11","1584_1",1584,"McKeon2013",2.8335,-60.81753333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",2,1
"132","1584_12","1584_12","1584_1",1584,"McKeon2013",2.819516667,-60.80265,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"133","1584_13","1584_13","1584_1",1584,"McKeon2013",2.50535,-61.28388333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"134","1584_14","1584_14","1584_1",1584,"McKeon2013",2.53385,-61.27136667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",1,1
"135","1584_15","1584_15","1584_1",1584,"McKeon2013",2.53725,-61.19078333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",1,1
"136","1584_16","1584_16","1584_1",1584,"McKeon2013",2.156966667,-61.03831667,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",3,1
"137","1584_17","1584_17","1584_1",1584,"McKeon2013",2.167416667,-61.05913333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",2,1
"138","1584_19","1584_19","1584_1",1584,"McKeon2013",2.14305,-61.04183333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",3,1
"139","1584_2","1584_2","1584_1",1584,"McKeon2013",3.48785,-60.94215,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
