"","X","study_number","lon","lat","reference","site_name","site_number","study_block","country","habitat_description","land_use_specific","land_use","land_use_intensity","species_study_name","genus","species","metric","sample_month","sample_start","sample_start_year","sample_end","sampling_method","sampling_effort","sampling_effort_unit","collection","sample_season","sample_daytime","development_stage","measurement","adjusted_measurement","species_studied","eco_name","biome","study_sample","measurement_adj","species_name","land_use_intensity_agg","LUI"
"1325",5172,1418,-73.376312,-3.831325,"Reinbold2013","Forest village","1418_3","1418_3","Peru","Puerto Almendra, a forested rural village","open area surrounded by forest","primary vegetation","light","Anopheles (Ste.) kompi","Anopheles","kompi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","both",NA,NA,"adult",1,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_1",0.000248015873015873,"Anopheles kompi","substantial","primary vegetation-substantial"
"1326",5173,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Ano.) forattiniii","Anopheles","forattinii","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",150,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.037202380952381,"Anopheles forattinii","minimal","primary vegetation-minimal"
"1327",5174,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Ano.) mattogrossensis","Anopheles","mattogrossensis","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",3,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.000744047619047619,"Anopheles mattogrossensis","minimal","primary vegetation-minimal"
"1328",5175,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Ano.) peryassui","Anopheles","peryassui","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",0,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0,"Anopheles peryassui","minimal","primary vegetation-minimal"
"1329",5176,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Ano.) shannoni","Anopheles","shannoni","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",9,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.00223214285714286,"Anopheles shannoni","minimal","primary vegetation-minimal"
"1330",5177,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Nys.) benarrochi","Anopheles","benarrochi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",2,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.000496031746031746,"Anopheles benarrochi","minimal","primary vegetation-minimal"
"1331",5178,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Nys.) darlingi","Anopheles","darlingi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",20,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.00496031746031746,"Anopheles darlingi","minimal","primary vegetation-minimal"
"1332",5179,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Nys.) nuneztovari","Anopheles","nuneztovari","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",9,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.00223214285714286,"Anopheles nuneztovari","minimal","primary vegetation-minimal"
"1333",5180,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Nys.) oswaldoi","Anopheles","oswaldoi","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",18,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0.00446428571428571,"Anopheles oswaldoi","minimal","primary vegetation-minimal"
"1334",5181,1418,-73.38592,-3.827436,"Reinbold2013","Forest","1418_4","1418_4","Peru","dense forest site","tropical rainforest","primary vegetation","minimal","Anopheles (Nys.) rangeli","Anopheles","rangeli","abundance","October-September","1996-10",1996,"1997-09","HLC",4032,"man hours","outdoor",NA,NA,"adult",0,NA,"multiple","Iquitos varzeá","Tropical & Subtropical Moist Broadleaf Forests","1418_2",0,"Anopheles rangeli","minimal","primary vegetation-minimal"
